Program,exam_score,,AVERAGE BY GATE,,AVERAGE OVERALL,,MEDIAN,,Top 1,,Top 3,,,,SUBSET,,AVERAGE,,MEDIAN, ,Top 1,,Top 3
AddGate_rx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_6_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_7_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_8_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rx_inGap_9_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_10_.qasm,0.454545455,,0.581818182,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_11_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_12_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_13_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_14_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_15_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_1_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_3_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_6_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_7_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_8_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rxx_inGap_9_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_10_.qasm,0.272727273,,0.284848485,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_11_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_12_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_13_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_14_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_15_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_1_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_2_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_3_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_4_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_5_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_6_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_7_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_8_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_ry_inGap_9_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_10_.qasm,0.636363636,,0.618181818,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_11_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_12_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_13_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_14_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_15_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_1_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_2_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_4_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_5_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rz_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_10_.qasm,0.636363636,,0.539393939,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_11_.qasm,0.636363636,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_12_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_13_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_14_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_15_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_1_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_2_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_4_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_7_.qasm,0.818181818,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_rzz_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_1_.qasm,0.090909091,,0.558441558,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_2_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_4_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_s_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_1_.qasm,1,,0.649350649,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_3_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_10_.qasm,0.454545455,,0.321212121,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_11_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_12_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_13_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_14_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_15_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_1_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_2_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_3_.qasm,0.272727273,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_4_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_6_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_7_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_8_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_t_inGap_9_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_1_.qasm,1,,0.662337662,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_2_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_3_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_4_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_5_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.272727273,,0.246753247,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.090909091,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.363636364,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_1_.qasm,0.090909091,,0.558441558,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_2_.qasm,0.454545455,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_3_.qasm,1,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_4_.qasm,0.545454545,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_5_.qasm,0.181818182,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_6_.qasm,0.909090909,,,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_9_.qasm,0.727272727,,,,,,,,,,,,,,,,,,,,,,
