Program,exam_score,,,AVERAGE EXAM,,TOP 1 PERCENTAGE,,TOP 3 PERCENTAGE,,MEDIAN,,,SUBSET,,AVERAGE,,MEDIAN,,Top 1,,Top 3
AddGate_x_inGap_2_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_x_inGap_9_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_1_.qasm,0.357142857,,0.301587302,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_2_.qasm,0.285714286,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_3_.qasm,0.571428571,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_4_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_5_.qasm,0.285714286,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_6_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_7_.qasm,0.285714286,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_8_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_y_inGap_9_.qasm,0.357142857,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_3_.qasm,0.928571429,,0.428571429,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_4_.qasm,0.5,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_5_.qasm,0.714285714,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_6_.qasm,0.214285714,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_7_.qasm,0.071428571,,,,,,,,,,,,,,,,,,,,
AddGate_z_inGap_8_.qasm,0.142857143,,,,,,,,,,,,,,,,,,,,
