Program,best_exam_score,worst_exam_score,avg_exam_score,,,,,,,DStar (Perfect EXAM = 0.0476),,,,,
,,,,,,Average EXAM Best-Case By Gate,Average EXAM Best-Case Overall,Median EXAM Best-Case,% Top 1 Best-Case,% Top 3 Best-Case,Average EXAM Worst-Case By Gate,Average EXAM Worst-Case Overall,Median EXAM Worst-Case,% Top 1 Worst-Case,% Top 3 Worst-Case
AddGate_swap_inGap_3_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_swap_inGap_4_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_swap_inGap_5_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_swap_inGap_6_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_swap_inGap_7_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_swap_inGap_8_.qasm,0.428571429,0.428571429,0.428571429,,,,,,,,,,,,
AddGate_swap_inGap_9_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_10_.qasm,0.80952381,0.80952381,0.80952381,,SX,0.673809524,,,,,0.673809524,,,,
AddGate_sx_inGap_11_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_12_.qasm,1,1,1,,,,,,,,,,,,
AddGate_sx_inGap_13_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_sx_inGap_14_.qasm,1,1,1,,,,,,,,,,,,
AddGate_sx_inGap_15_.qasm,1,1,1,,,,,,,,,,,,
AddGate_sx_inGap_16_.qasm,0.047619048,0.047619048,0.047619048,,,,,,,,,,,,
AddGate_sx_inGap_17_.qasm,0.19047619,0.19047619,0.19047619,,,,,,,,,,,,
AddGate_sx_inGap_18_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_sx_inGap_19_.qasm,0.142857143,0.142857143,0.142857143,,,,,,,,,,,,
AddGate_sx_inGap_1_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_sx_inGap_20_.qasm,0.285714286,0.285714286,0.285714286,,,,,,,,,,,,
AddGate_sx_inGap_2_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_3_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_4_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_5_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_sx_inGap_6_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_sx_inGap_7_.qasm,0.761904762,0.761904762,0.761904762,,,,,,,,,,,,
AddGate_sx_inGap_8_.qasm,0.952380952,0.952380952,0.952380952,,,,,,,,,,,,
AddGate_sx_inGap_9_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_t_inGap_10_.qasm,1,1,1,,T,0.876190476,,,,,0.876190476,,,,
AddGate_t_inGap_11_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_t_inGap_12_.qasm,1,1,1,,,,,,,,,,,,
AddGate_t_inGap_13_.qasm,0.80952381,0.80952381,0.80952381,,,,,,,,,,,,
AddGate_t_inGap_14_.qasm,1,1,1,,,,,,,,,,,,
AddGate_t_inGap_15_.qasm,1,1,1,,,,,,,,,,,,
